"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/InterchangeAssets/gltf/MaterialInstances/MI_Default_Opaque_DS","21","0","12","1","5.529462","0","12"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial","21","0","67","1","32.538231","0","67"
"/InterchangeAssets/gltf/M_Sheen","21","0","8","1","4.176607","0","8"
"/Engine/EngineMaterials/DefaultMaterial","21","0","44","1","19.268499","0","44"
"/InterchangeAssets/gltf/MaterialInstances/MI_Default_Blend","21","0","12","1","7.459896","0","12"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Arrow","21","0","4","1","1.711984","0","4"
"/InterchangeAssets/gltf/MaterialInstances/MI_Default_Mask","21","0","20","1","6.463789","0","20"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque","21","0","10","1","5.344848","0","10"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Shadow","21","0","2","1","1.156151","0","2"
"/Engine/EngineMaterials/WorldGridMaterial","21","0","519","1","274.839844","0","519"
"/Engine/EditorLandscapeResources/SelectBrushMaterial_SelectedRegion","21","0","2","1","1.282816","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial","21","0","40","1","31.651178","0","40"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial","21","0","27","1","27.721664","0","27"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Placeable","21","0","2","1","0.526276","0","2"
"/Engine/VREditor/SnapGrid/SnapGridMaterial","21","0","4","1","3.118331","0","4"
"/InterchangeAssets/gltf/MaterialInstances/MI_ClearCoat_Mask_DS","21","0","20","1","12.667727","0","20"
"/Paper2D/OpaqueUnlitSpriteMaterial","21","0","8","1","5.607951","0","8"
"/MeshModelingToolsetExp/Materials/LineSetOverlaidComponentMaterial","21","0","4","1","3.237833","0","4"
"/MeshModelingToolsetExp/Materials/PointSetOverlaidComponentMaterial","21","0","4","1","3.023491","0","4"
"/ARUtilities/Materials/MI_ScreenSpacePassthroughCameraExternalTexture","21","0","4","1","2.249509","0","4"
"/AppleARKit/MI_DepthOcclusionOverlay","21","0","10","1","2.406033","0","10"
"/Landmass/Landscape/BlueprintBrushes/Materials/Sprite/M_BrushSprite_01","21","0","8","1","4.625620","0","8"
"/InterchangeAssets/gltf/Substrate/M_GLTF","21","0","6","1","4.777920","0","6"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Plain","21","0","2","1","1.300853","0","2"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonUI","21","0","12","1","4.720394","0","12"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMenuSelection","21","0","12","1","4.657022","0","12"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonRotatingUI","21","0","12","1","4.760350","0","12"
"/ARUtilities/Materials/MI_PassthroughCameraExternalTexture","21","0","10","1","2.394424","0","10"
"/InterchangeAssets/gltf/MaterialInstances/MI_ClearCoat_Blend_DS","21","0","12","1","19.163256","0","12"
